882,248
884,267
887,286
891,304
902,321
913,336
915,352
909,370
901,386
892,404
882,419
874,437
869,456
871,476
884,492
901,501
920,507
934,515
930,526
914,533
896,539
877,544
859,549
841,556
823,563
807,573
793,588
794,609
814,614
832,618
842,629
839,646
829,661
816,674
803,688
790,702
782,721
786,741
795,758
811,771
830,777
849,779
868,781
887,783
906,785
924,787
943,790
962,792
980,795
999,799
1017,804
1034,811
1048,822
1059,836
1064,853
1063,871
1056,887
1046,902
1032,916
1018,928
1003,938
986,947
969,955
952,962
934,969
917,975
898,980
880,985
862,990
843,994
825,999
807,1003
788,1008
770,1014
752,1023
746,1043
750,1063
757,1081
761,1098
760,1116
754,1133
744,1149
732,1162
719,1175
704,1187
689,1199
675,1211
660,1224
647,1237
635,1253
626,1270
622,1290
624,1309
627,1328
632,1347
639,1365
645,1382
649,1400
652,1419
654,1437
656,1456
656,1475
656,1494
653,1512
650,1531
646,1549
643,1568
640,1587
639,1607
644,1626
654,1643
667,1657
683,1668
701,1676
720,1681
738,1685
757,1689
775,1693
794,1698
812,1703
829,1710
844,1721
857,1733
869,1747
880,1763
888,1779
894,1797
898,1815
904,1831
884,1846
870,1859
855,1870
840,1880
824,1891
809,1903
797,1919
791,1938
790,1957
793,1976
797,1995
802,2013
808,2031
813,2050
817,2068
819,2086
817,2104
808,2120
797,2135
783,2145
766,2153
748,2159
730,2167
718,2184
715,2203
716,2223
719,2241
721,2260
723,2279
724,2298
723,2316
721,2335
717,2353
710,2370
701,2386
690,2400
676,2413
661,2425
647,2438
633,2450
619,2463
605,2476
591,2489
577,2502
563,2515
550,2528
537,2542
525,2558
516,2574
507,2591
499,2608
